Name,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21
Admiral,84,104,66,29,29,24,34,22,29,37,25,23,16,9,10,7,11
Agent S,226,235,96,65,65,41,36,44,36,50,36,27,13,21,16,14,22
Agnes,376,400,228,146,146,95,85,96,116,120,92,70,49,45,38,29,64
Al,110,123,46,31,31,20,15,15,20,23,18,6,15,10,12,7,15
Alfonso,241,214,108,53,53,29,26,40,55,80,50,45,28,12,13,9,25
Alice,225,237,141,75,75,55,49,43,47,57,39,27,17,18,21,13,23
Alli,47,41,24,9,9,10,7,6,13,13,6,3,4,2,3,1,7
Amelia,138,136,77,30,30,24,17,22,25,33,22,16,10,6,9,5,6
Anabelle,191,205,98,44,44,23,30,35,37,49,38,16,18,12,11,7,14
Anchovy,145,125,65,33,33,26,28,21,13,32,19,13,5,7,9,8,12
Angus,52,67,27,18,18,14,7,14,13,17,17,10,7,1,10,2,7
Anicotti,52,76,44,18,18,14,10,11,17,16,12,7,11,7,3,5,4
Ankha,2311,2038,1174,641,641,414,386,385,437,446,349,277,148,141,125,216,455
Annalisa,96,80,45,45,45,23,17,20,29,32,22,17,7,13,7,8,14
Annalise,29,36,19,11,11,14,13,7,15,10,7,8,8,7,5,5,8
Antonio,273,268,134,123,123,55,58,72,50,68,51,31,25,31,16,12,28
Apollo,948,959,516,319,319,208,177,174,216,211,169,120,92,81,68,50,131
Apple,769,892,496,284,284,196,169,217,214,206,172,124,82,86,70,54,82
Astrid,37,32,20,10,10,12,4,16,13,9,14,7,2,6,5,1,9
Audie,2381,2038,1151,744,744,402,370,407,404,450,349,246,169,180,146,110,194
Aurora,678,565,317,159,159,111,110,124,125,122,92,64,44,34,45,32,62
Ava,49,58,37,27,27,14,20,17,13,14,17,13,8,5,5,5,5
Avery,95,73,39,22,22,25,19,21,20,19,15,9,6,3,9,2,15
Axel,107,126,74,34,34,23,17,22,17,25,20,14,8,11,6,6,12
Baabara,53,48,28,7,7,15,8,10,17,15,7,8,7,7,5,5,7
Bam,445,398,268,143,143,113,87,94,94,127,109,62,47,37,41,27,60
Bangle,175,178,95,67,67,44,43,40,43,47,35,26,15,17,16,6,19
Barold,201,287,163,109,109,58,37,26,47,51,32,17,9,6,10,8,14
Bea,172,180,107,87,87,51,41,50,63,60,68,41,25,16,23,17,39
Beardo,142,129,75,56,56,24,22,22,20,34,13,15,5,7,5,4,17
Beau,2095,1867,1072,673,673,443,372,389,394,430,372,223,179,127,123,119,224
Becky,18,44,17,14,14,6,7,6,5,9,6,7,5,2,1,2,8
Bella,116,114,42,44,44,21,29,25,31,33,29,29,17,13,8,14,11
Benedict,80,61,36,16,16,16,19,15,11,11,5,9,3,5,4,3,5
Benjamin,89,76,61,37,37,21,20,16,15,12,24,15,12,6,6,7,11
Bertha,112,131,56,33,33,18,18,26,23,30,19,14,6,11,6,5,6
Bettina,41,47,18,15,15,11,14,12,18,10,5,6,7,2,3,8,5
Bianca,359,362,169,112,112,76,82,86,96,92,61,58,30,19,22,18,34
Biff,153,159,97,44,44,35,30,47,31,50,24,24,10,13,7,11,21
Big Top,65,49,37,19,19,12,11,23,21,16,21,10,8,4,5,4,8
Bill,228,217,123,85,85,54,56,68,60,869,155,59,44,25,26,9,26
Billy,114,117,67,34,34,25,14,55,27,55,38,8,14,13,12,4,10
Biskit,237,307,172,92,92,60,43,56,42,71,49,30,27,23,11,14,30
Bitty,14,21,18,12,12,6,3,14,3,12,3,4,3,2,3,5,4
Blaire,129,141,81,72,72,56,47,46,55,69,52,38,43,27,16,11,31
Blanche,136,138,87,51,51,25,28,24,44,48,28,25,16,21,10,6,23
Bluebear,648,692,443,239,239,184,136,183,158,198,146,115,88,57,58,35,66
Bob,1841,1932,1046,592,592,409,320,349,329,345,256,173,123,149,111,88,177
Bonbon,51,77,51,31,31,15,14,28,21,25,25,11,16,11,10,9,16
Bones,291,306,209,125,125,105,82,77,78,108,79,57,34,33,28,22,43
Boomer,207,197,89,56,56,26,35,29,25,41,30,25,15,15,14,10,26
Boone,82,73,38,36,36,13,14,24,19,23,8,10,9,8,6,8,8
Boots,65,93,43,26,26,26,12,20,25,33,19,14,10,9,10,5,12
Boris,36,30,40,21,21,10,7,9,8,13,8,4,0,1,2,4,4
Boyd,25,17,16,12,12,9,3,4,8,17,10,3,3,4,2,2,2
Bree,47,59,30,30,30,28,19,17,31,29,23,20,20,10,10,5,11
Broccolo,110,135,68,64,64,40,34,54,43,55,39,29,19,13,13,11,20
Broffina,27,27,13,7,7,39,30,11,7,15,7,5,3,2,1,1,2
Bruce,215,163,104,56,56,52,31,35,38,27,30,23,18,15,11,6,13
Bubbles,101,94,58,38,38,17,22,24,20,14,25,14,15,12,9,7,12
Buck,105,95,33,22,22,15,22,26,30,28,20,20,12,10,6,3,16
Bud,39,54,39,12,12,7,11,18,10,11,11,8,4,8,3,2,8
Bunnie,280,309,183,125,125,78,65,50,60,79,80,49,28,21,18,21,35
Butch,112,145,92,74,74,41,31,32,42,41,35,14,15,10,13,12,20
Buzz,39,24,18,15,15,9,10,5,17,14,9,7,4,9,1,4,4
Cally,52,52,22,26,26,20,15,14,18,20,15,12,11,9,11,6,9
Camofrog,83,86,54,35,35,26,17,26,22,42,27,15,15,9,14,4,9
Canberra,173,160,76,48,48,26,30,50,46,61,38,26,18,16,19,16,16
Candi,31,22,14,11,11,11,9,7,7,15,6,7,5,4,4,2,4
Carmen,153,160,83,54,54,45,24,37,33,41,26,25,14,15,7,5,18
Caroline,103,99,62,50,50,48,41,21,28,26,24,15,10,15,11,6,14
Carrie,41,30,17,8,8,20,12,16,16,12,10,10,10,4,6,4,8
Cashmere,26,21,14,52,52,14,8,5,5,9,6,10,7,4,3,2,7
Celia,155,140,79,42,42,31,35,34,43,47,34,35,17,18,13,12,18
Cesar,24,24,15,11,11,6,8,17,18,8,5,18,35,3,2,5,3
Chadder,123,116,57,37,37,31,15,25,57,38,40,27,25,14,15,9,18
Charlise,40,30,23,13,13,11,8,6,10,13,10,5,8,6,3,9,9
Cheri,288,256,156,92,92,62,56,61,62,70,57,35,23,22,13,12,19
Cherry,1002,975,556,352,352,244,202,211,218,251,236,148,109,87,72,57,131
Chester,95,145,115,53,53,27,22,29,20,29,19,11,12,10,12,7,6
Chevre,469,446,236,177,177,132,94,97,109,118,97,47,36,47,41,27,54
Chief,274,262,125,92,92,50,51,47,48,71,40,38,34,19,24,16,34
Chops,33,26,18,9,9,8,6,10,5,11,14,4,8,1,2,5,3
Chow,28,41,19,16,16,13,11,6,3,25,10,8,3,3,2,10,21
Chrissy,359,362,218,132,132,84,71,85,82,98,85,65,40,36,27,23,39
Claude,45,40,28,12,12,11,15,12,8,9,6,6,14,5,3,8,7
Claudia,40,40,41,18,18,9,12,6,10,6,13,7,3,2,2,4,8
Clay,379,1123,489,191,191,120,84,105,84,97,60,44,24,27,23,12,33
Cleo,40,34,24,32,32,18,13,12,16,17,14,10,7,8,16,8,10
Clyde,34,28,15,10,10,8,7,6,6,12,11,4,1,6,5,1,4
Coach,90,77,33,19,19,15,15,22,14,26,15,14,4,3,8,6,10
Cobb,36,26,26,11,11,9,28,12,12,14,10,9,7,4,8,9,14
Coco,1680,1762,1015,601,601,391,313,326,352,387,311,186,154,157,103,100,223
Cole,96,96,74,35,35,27,21,26,24,32,27,26,15,19,11,8,19
Colton,115,96,57,39,39,24,28,29,24,31,28,17,10,12,8,7,8
Cookie,631,743,369,228,228,167,155,171,162,168,144,115,75,69,65,64,76
Cousteau,65,68,31,29,29,23,13,19,18,24,21,10,5,10,7,5,10
Cranston,215,187,128,100,100,53,49,36,53,42,33,27,21,15,8,11,18
Croque,24,38,18,12,12,4,12,9,9,12,9,6,5,3,5,4,8
Cube,248,245,129,79,79,55,42,53,58,54,45,17,19,18,12,16,37
Curlos,64,62,34,33,33,21,10,13,11,13,15,6,7,5,4,8,11
Curly,28,23,29,11,11,11,8,7,8,8,7,1,4,2,4,3,2
Curt,53,62,33,20,20,14,13,10,15,17,13,4,4,8,8,4,10
Cyd,119,138,100,57,57,34,28,24,28,28,28,22,11,9,8,8,20
Cyrano,39,32,24,22,22,13,6,15,14,16,12,9,4,5,3,2,6
Daisy,347,334,221,137,137,81,77,91,84,123,99,62,43,23,39,31,51
Deena,73,74,43,26,26,14,16,12,11,17,18,15,8,6,6,3,3
Deirdre,192,237,145,100,100,84,61,71,70,94,65,46,19,25,21,29,42
Del,68,60,38,28,28,23,17,18,16,15,14,12,2,5,7,2,10
Deli,134,99,72,36,36,28,21,26,37,42,32,20,11,10,11,4,21
Derwin,49,52,35,24,24,17,11,23,18,32,24,13,12,5,6,7,10
Diana,1411,1374,781,432,432,307,289,260,319,353,253,185,160,114,109,94,139
Diva,142,107,51,34,34,36,23,26,23,29,16,17,15,8,6,6,10
Dizzy,191,218,122,69,69,47,36,61,53,61,43,32,27,23,22,13,33
Dobie,350,474,330,236,236,159,102,134,130,141,127,51,50,46,41,24,86
Doc,61,70,31,26,26,19,17,14,18,23,16,12,9,9,4,2,6
Dom,1937,2143,1111,661,661,394,366,405,365,441,349,219,146,149,97,85,132
Dora,71,53,25,18,18,8,14,13,27,12,19,9,11,8,8,3,4
Dotty,252,218,100,71,71,61,50,52,71,64,47,40,26,23,17,13,21
Drago,283,239,139,91,91,45,42,59,52,58,50,44,21,25,20,13,35
Drake,79,81,59,29,29,18,19,27,14,21,12,19,8,6,11,4,12
Drift,59,60,31,25,25,17,16,23,35,33,35,23,17,8,7,6,15
Ed,49,53,25,17,17,17,14,10,11,17,12,3,5,8,4,7,9
Egbert,96,104,54,28,28,27,19,22,34,27,16,15,2,10,8,7,12
Elise,54,23,21,10,10,7,6,6,11,10,5,2,4,1,3,1,3
Ellie,265,239,143,87,87,59,46,60,61,73,43,36,16,26,24,16,27
Elmer,58,51,30,19,19,12,13,11,14,19,10,6,6,0,9,6,11
Eloise,53,53,38,26,26,23,19,16,17,17,22,7,8,8,8,7,8
Elvis,88,90,53,42,42,23,21,15,20,31,20,20,15,13,10,11,10
Erik,1139,1197,690,993,993,572,427,413,400,412,297,209,149,125,91,74,174
Eugene,241,239,115,66,66,42,46,27,43,51,53,28,18,23,14,11,23
Eunice,99,134,50,32,32,25,20,28,29,25,23,19,9,11,5,8,6
Fang,642,623,374,227,227,163,180,172,141,183,129,95,73,65,52,44,75
Fauna,1942,1801,1145,684,684,449,412,447,487,514,407,271,185,154,127,123,210
Felicity,167,146,81,86,86,64,54,39,54,67,54,25,23,21,14,15,16
Filbert,745,744,465,296,296,208,168,170,142,164,130,99,69,62,48,33,57
Flip,91,60,44,23,23,24,22,17,23,26,20,13,11,6,3,3,7
Flo,163,148,76,53,53,37,35,44,35,47,38,30,16,10,14,9,18
Flora,741,738,435,266,266,180,137,158,153,165,130,87,80,68,44,41,63
Flurry,606,581,295,201,201,138,125,136,134,137,89,56,44,46,30,30,48
Francine,201,225,141,80,80,57,47,60,57,74,70,38,33,22,23,11,30
Frank,25,32,21,17,17,5,12,5,15,23,6,11,5,6,0,6,8
Freckles,126,135,76,64,64,31,30,26,27,48,27,22,8,11,14,10,14
Freya,265,212,106,73,73,57,46,45,60,51,45,33,24,17,11,17,34
Friga,31,23,21,13,13,13,12,10,18,17,19,13,11,4,8,4,5
Frita,172,163,92,45,45,31,29,27,32,32,25,22,6,18,17,6,14
Frobert,50,52,29,31,31,16,13,12,11,13,15,22,8,4,4,8,4
Fuchsia,233,281,186,115,115,74,63,65,57,66,47,50,23,18,22,16,52
Gabi,39,48,29,19,19,13,15,17,16,15,12,9,3,8,5,3,7
Gala,131,178,114,64,64,65,37,51,49,51,35,26,14,19,13,16,20
Gaston,73,73,54,37,37,23,23,24,13,10,14,8,4,4,8,5,10
Gayle,314,281,154,92,92,77,55,71,93,80,81,47,32,37,18,12,33
Genji,469,495,298,221,221,126,121,118,113,98,101,67,39,36,32,28,83
Gigi,23,27,18,15,15,15,16,6,6,8,7,4,5,3,4,1,6
Gladys,140,130,67,38,38,34,28,46,29,40,21,17,13,13,16,7,21
Gloria,26,28,17,10,10,11,13,6,12,11,6,2,8,3,4,0,14
Goldie,798,828,425,266,266,187,173,184,180,187,154,90,74,59,64,48,99
Gonzo,93,118,48,53,53,29,24,26,21,34,29,16,11,11,8,12,13
Goose,104,101,34,37,37,22,15,15,15,30,18,19,6,10,11,2,16
Graham,101,85,51,49,49,30,26,16,16,22,17,8,7,9,6,7,5
Greta,25,21,11,12,12,5,14,7,4,11,2,9,7,3,3,1,7
Grizzly,47,55,48,37,37,17,20,21,25,27,27,22,5,13,9,9,14
Groucho,52,59,25,31,31,27,11,18,19,15,13,2,9,4,4,3,3
Gruff,32,39,22,22,22,15,8,10,7,14,10,3,14,9,11,2,9
Gwen,22,32,21,16,16,9,8,8,10,8,12,4,4,7,2,3,5
Hamlet,274,296,158,100,100,82,61,73,64,70,54,38,33,30,18,15,22
Hamphrey,83,89,57,25,25,24,18,21,23,32,21,17,11,8,9,13,11
Hans,63,73,46,21,21,11,18,12,15,25,17,5,10,4,4,5,11
Harry,15,21,21,13,13,10,7,6,7,14,6,2,2,2,0,1,5
Hazel,250,262,113,95,95,60,48,52,90,85,46,40,19,21,22,15,24
Henry,231,222,103,97,97,71,81,66,60,70,72,40,20,28,21,13,40
Hippeux,37,28,36,34,34,18,16,20,12,10,23,8,10,6,6,6,14
Hopkins,92,99,49,37,37,36,24,25,24,19,22,24,7,7,14,8,13
Hopper,92,106,55,36,36,25,20,24,18,20,22,11,6,9,9,2,16
Hornsby,404,384,214,131,131,77,71,81,92,93,73,48,29,28,24,13,40
Huck,50,49,25,22,22,21,12,11,12,16,10,8,7,3,7,2,3
Hugh,76,96,60,25,25,24,25,16,26,22,28,19,10,4,8,10,15
Iggly,78,84,40,33,33,28,16,26,22,25,15,13,12,5,6,3,15
Ike,34,33,21,12,12,6,13,7,11,10,10,4,4,6,1,6,4
Jacob,89,79,43,32,32,15,15,20,15,18,9,10,5,3,7,9,5
Jacques,98,117,65,34,34,30,30,21,26,22,17,16,12,12,8,4,17
Jambette,42,38,30,24,24,14,6,14,16,22,13,5,7,4,8,3,8
Jay,52,72,45,26,26,9,12,16,22,18,22,10,10,7,9,6,4
Jeremiah,164,191,105,89,89,47,33,28,53,37,36,27,14,18,21,9,25
Jitters,36,55,80,34,34,13,15,10,9,15,6,6,2,7,4,4,9
Joey,193,162,102,66,66,34,31,35,31,45,53,32,16,18,13,17,26
Judy,2696,2642,1445,824,824,546,472,524,479,560,421,323,228,190,176,135,202
Julia,216,237,116,73,73,59,44,47,64,68,60,43,24,18,15,12,23
Julian,983,943,552,310,310,202,170,184,213,231,192,135,109,67,62,49,116
June,354,300,148,108,108,52,59,64,60,71,55,32,34,27,12,10,25
Kabuki,494,496,284,173,173,113,80,96,94,130,106,82,48,37,33,15,74
Katt,437,311,217,134,134,91,71,73,71,82,63,46,26,36,23,21,37
Keaton,79,77,41,26,26,15,15,14,10,21,16,10,5,10,5,7,12
Ken,122,80,57,26,26,34,16,27,20,20,17,14,10,7,5,7,12
